person_id,full_name,other_names,assnat_url
12177,gilles chapadeau,chapadeau,/fr/deputes/chapadeau-gilles-12177/index.html
3813,gilles labbe,labbe,/fr/deputes/labbe-gilles-3813/index.html
35,gilles lehouillier,lehouillier,/fr/deputes/lehouillier-gilles-35/index.html
12245,gilles ouimet,NA,/fr/deputes/ouimet-gilles-12245/index.html
183,gilles robert,robert,/fr/deputes/robert-gilles-183/index.html
5911,gilles taillon,taillon,/fr/deputes/taillon-gilles-5911/index.html
5879,ginette grandmont,grandmont,/fr/deputes/grandmont-ginette-5879/index.html
17951,gregory kelley,kelley,/fr/deputes/kelley-gregory-17951/index.html
19593,guillaume clicherivard,clicherivard ; m.clicherivard ; m. clicherivard,/fr/deputes/cliche-rivard-guillaume-19593/index.html
1341,guillaume tremblay,tremblay,/fr/deputes/tremblay-guillaume-1341/index.html
15353,guy bourgeois,bourgeois,/fr/deputes/bourgeois-guy-15353/index.html
2555,guy chevrette,chevrette,/fr/deputes/chevrette-guy-2555/index.html
15415,guy hardy,hardy,/fr/deputes/hardy-guy-15415/index.html
3765,guy julien,julien,/fr/deputes/julien-guy-3765/index.html
15,guy leclair,leclair,/fr/deputes/leclair-guy-15/index.html
4145,guy lelievre,lelievre,/fr/deputes/lelievre-guy-4145/index.html
549,guy ouellette,ouellette,/fr/deputes/ouellette-guy-549/index.html
15479,harold lebel,lebel,/fr/deputes/lebel-harold-15479/index.html
19305,haroun bouazzi,bouazzi ; m.bouazzi ; m. bouazzi,/fr/deputes/bouazzi-haroun-19305/index.html
12201,helene daneault,daneault,/fr/deputes/daneault-helene-12201/index.html
15379,helene david,NA,/fr/deputes/david-helene-15379/index.html
5113,helene robert,robert,/fr/deputes/robert-helene-5113/index.html
1051,henrifrancois gautrin,gautrin,/fr/deputes/gautrin-henri-francois-1051/index.html
900009,hubert benoit,benoit,
17903,ian lafreniere,lafreniere ; m. lafreniere ; m.lafreniere ; m lafreniere,/fr/deputes/lafreniere-ian-17903/index.html
821,irvin pelletier,NA,/fr/deputes/pelletier-irvin-821/index.html
17845,isabelle charest,charest ; mme charest,/fr/deputes/charest-isabelle-17845/index.html
17945,isabelle lecours,lecours,/fr/deputes/lecours-isabelle-17945/index.html
16779,isabelle melancon,melancon,/fr/deputes/melancon-isabelle-16779/index.html
19311,isabelle poulet,poulet ; mme poulet,/fr/deputes/poulet-isabelle-19311/index.html
1841,jacques baril,baril,/fr/deputes/baril-jacques-1841/index.html
2271,jacques brassard,brassard,/fr/deputes/brassard-jacques-2271/index.html
353,jacques chagnon,chagnon,/fr/deputes/chagnon-jacques-353/index.html
2667,jacques cote,NA,/fr/deputes/cote-jacques-2667/index.html
15441,jacques daoust,daoust,/fr/deputes/daoust-jacques-15441/index.html
12193,jacques duchesneau,duchesneau,/fr/deputes/duchesneau-jacques-12193/index.html
900010,jacques dupuis,dupuis,
4175,jacques leonard,leonard,/fr/deputes/leonard-jacques-4175/index.html
12231,jacques marcotte,marcotte,/fr/deputes/marcotte-jacques-12231/index.html
4781,jacques parizeau,parizeau,/fr/deputes/parizeau-jacques-4781/index.html
1337,janvier grondin,grondin,/fr/deputes/grondin-janvier-1337/index.html
15433,jean boucher,boucher,/fr/deputes/boucher-jean-15433/index.html
17899,jean boulet,boulet,/fr/deputes/boulet-jean-17899/index.html
2361,jean campeau,campeau,/fr/deputes/campeau-jean-2361/index.html
525,jean charest,NA,/fr/deputes/charest-jean-525/index.html
1623,jean damour,damour,/fr/deputes/d-amour-jean-1623/index.html
5859,jean damphousse,damphousse,/fr/deputes/damphousse-jean-5859/index.html
5871,jean domingue,domingue,/fr/deputes/domingue-jean-5871/index.html
5815,jean dubuc,dubuc,/fr/deputes/dubuc-jean-5815/index.html
3147,jean filion,filion,/fr/deputes/filion-jean-3147/index.html
3349,jean garon,garon,/fr/deputes/garon-jean-3349/index.html
